-1.383270263671875000e+00,-5.725198627363287329e+00,-1.274801372636712671e+00
-3.315421761944890022e+00,-4.675941081678578470e+00,-2.324058918321421530e+00
-2.600771177560091019e+00,-4.895794631129541941e+00,-2.104205368870458059e+00
-4.871952429413795471e+00,-1.828150192845006572e+00,-5.171849807154993428e+00
-6.439915999770164490e+00,-5.979470143277172411e-01,-6.402052985672282759e+00
-1.535803496837615967e+00,-6.447622458987222416e+00,-5.523775410127775842e-01
-3.840413130819797516e+00,-4.133847639831715881e+00,-2.866152360168284119e+00
-1.096106009557843208e+00,-6.836798289460332967e+00,-1.632017105396670331e-01
-3.054748140275478363e+00,-4.929363265919251447e+00,-2.070636734080748553e+00
-1.710962045006453991e+00,-5.622840863376891818e+00,-1.377159136623108182e+00
-1.411714039742946625e+00,-6.547810951831344539e+00,-4.521890481686554608e-01
-2.431773593649268150e+00,-5.504737971282789744e+00,-1.495262028717210256e+00
-4.797643555328249931e+00,-3.022135850204179519e+00,-3.977864149795820481e+00
-1.496897943317890167e+00,-6.394890489477530693e+00,-6.051095105224693071e-01
-2.647639245726168156e+00,-5.352016173188715698e+00,-1.647983826811284302e+00
-6.588872464373707771e+00,-1.230567777330014323e+00,-5.769432222669985677e+00
-3.901766227558255196e+00,-4.097641290879350251e+00,-2.902358709120649749e+00
-1.794980708509683609e+00,-6.202603354814275605e+00,-7.973966451857243953e-01
-3.263900454621762037e+00,-4.730276812453970692e+00,-2.269723187546029308e+00
-6.870207237079739571e+00,-1.039687634410137562e+00,-5.960312365589862438e+00
