6.856323242187500000e+00,5.760406494140625000e+00,3.052246093750000000e+00,7.569824218750000000e+00
5.234143799170851707e+00,5.450434438884258270e+00,8.940949440002441406e+00,9.376944899559020996e+00
4.754366885870695114e+00,6.644861936569213867e+00,9.603611946105957031e+00,6.237754225730895996e+00
4.721050329506397247e+00,4.406997241079807281e+00,7.274177789688110352e+00,1.277758359909057617e+01
2.000000000000000000e+00,5.560084000229835510e+00,5.393341779708862305e+00,1.009363126754760742e+01
8.000000000000000000e+00,4.464196503162384033e+00,5.707397460937500000e+00,5.103324890136718750e+00
4.709152430295944214e+00,5.450434438884258270e+00,4.001517176628112793e+00,4.754461765289306641e+00
7.453459551557898521e+00,5.450434438884258270e+00,7.976200819015502930e+00,6.759398758411407471e+00
3.740766458213329315e+00,7.204485401511192322e+00,8.780843913555145264e+00,8.189403712749481201e+00
6.137294986285269260e+00,6.151742968708276749e+00,7.986835956573486328e+00,4.100944221019744873e+00
8.000000000000000000e+00,4.588285960257053375e+00,9.707422971725463867e+00,8.762918651103973389e+00
4.268989782780408859e+00,7.299236623570322990e+00,4.328380167484283447e+00,5.511924147605895996e+00
4.134102424606680870e+00,5.068254020065069199e+00,6.900504082441329956e+00,8.899837106466293335e+00
8.000000000000000000e+00,4.503102056682109833e+00,9.266967773437500000e+00,7.720240835100412369e+00
7.212822574190795422e+00,4.139538180083036423e+00,7.927903771400451660e+00,8.014972150325775146e+00
2.825215181335806847e+00,4.585912354290485382e+00,5.065857946872711182e+00,7.067086696624755859e+00
6.098233772441744804e+00,4.000000000000000000e+00,7.562171489000320435e+00,7.448000803589820862e+00
6.639474835246801376e+00,5.565544456243515015e+00,7.274177789688110352e+00,7.043620977550745010e+00
3.389149440918117762e+00,7.346950104460120201e+00,8.404960513114929199e+00,8.762918651103973389e+00
2.746465262025594711e+00,4.383327500894665718e+00,5.089220762252807617e+00,6.500047385692596436e+00
